SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,DAYS_DECISION,CODE_REJECT_REASON,CNT_PAYMENT
1760015,269239,Cash loans,,0,0,-207,XAP,
2810623,369919,Cash loans,,0,0,-419,XAP,
2433280,407487,Cash loans,,0,0,-181,XAP,
2325707,353086,Cash loans,,0,0,-388,XAP,
2345724,197444,Cash loans,10030.5,360000,360000,-208,XAP,60
2734980,348760,Cash loans,,0,0,-405,XAP,
1816690,372970,Consumer loans,10483.65,104850,93838.5,-132,XAP,10
2203764,205177,Cash loans,34423.11,450000,491580,-880,XAP,24
1946657,427532,Consumer loans,7795.125,147195,172840.5,-1327,XAP,24
1894597,442603,Consumer loans,2334.42,39996,45153,-1071,XAP,24
1385097,369423,Consumer loans,2652.705,19611,14170.5,-1525,XAP,6
1973766,282755,Consumer loans,13150.575,249309,287482.5,-1268,XAP,24
1241792,404105,Consumer loans,23343.03,132480,125527.5,-33,XAP,6
1395742,451154,Consumer loans,6087.42,66649.5,59980.5,-600,XAP,12
2729966,216189,Consumer loans,30041.055,325588.5,293026.5,-514,XAP,12
2334831,430368,Cash loans,58021.695,877500,1031193,-970,XAP,30
2012211,282125,Revolving loans,33750,0,675000,-568,SCOFR,0
1299881,454363,Cash loans,40933.575,688500,783018,-456,HC,48
2709276,342991,Revolving loans,45000,900000,900000,-511,XAP,0
2742815,244966,Cash loans,,0,0,-183,XAP,
2796269,240839,Cash loans,,0,0,-223,HC,
1981960,306707,Cash loans,10678.005,225000,269550,-13,SCOFR,36
1275378,433914,Revolving loans,,0,0,-314,XAP,
1009986,360684,Consumer loans,11451.735,57600,60642,-693,XAP,6
1519873,258336,Consumer loans,4699.035,46530,46300.5,-621,XAP,12
2535384,394386,Consumer loans,3995.505,28750.5,19750.5,-953,XAP,6
2443751,210583,Cash loans,,0,0,-201,XAP,
1524716,273901,Revolving loans,,0,0,-395,XAP,
2081217,281586,Revolving loans,,0,0,-84,XAP,
2522811,120854,Revolving loans,33750,0,675000,-879,XAP,0
2408628,320444,Cash loans,55973.295,1035000,1110141,-953,XAP,30
1851241,415052,Consumer loans,9675.855,46476,48775.5,-1368,XAP,6
2030030,133853,Consumer loans,7253.055,104809.5,121410,-346,XAP,18
1935914,191576,Consumer loans,,23400,23400,-1412,CLIENT,
1457539,307992,Consumer loans,,113215.5,113215.5,-520,CLIENT,
1077629,203467,Cash loans,46345.32,1012500,1115410.5,-974,XAP,42
2289239,444025,Cash loans,,0,0,-308,HC,
1196771,127624,Cash loans,49186.8,1170000,1170000,-358,HC,48
2603082,223550,Cash loans,,0,0,-354,XAP,
1247611,119539,Cash loans,19011.6,405000,405000,-147,HC,48
1826549,141689,Cash loans,,0,0,-197,XAP,
1067163,422466,Cash loans,43067.475,630000,673245,-500,HC,24
1655160,255798,Cash loans,,0,0,-261,XAP,
2743878,178345,Cash loans,,0,0,-248,XAP,
1015452,272179,Cash loans,,0,0,-60,XAP,
1729112,365261,Cash loans,10855.305,270000,328450.5,-208,HC,48
1192792,445331,Cash loans,52507.8,886500,937989,-422,HC,24
2603295,217812,Cash loans,,0,0,-200,XAP,
2086496,434442,Cash loans,,0,0,-469,XAP,
2577530,427367,Cash loans,,0,0,-128,XAP,
1168659,101529,Cash loans,,0,0,-115,HC,
2686051,101529,Cash loans,,0,0,-164,XAP,
2640293,264510,Revolving loans,,0,0,-238,HC,
1070086,348624,Cash loans,24394.005,468000,523597.5,-48,HC,36
2545472,326635,Cash loans,56548.62,1800000,2013840,-581,HC,60
1246266,153017,Cash loans,,0,0,-88,XAP,
1181698,115097,Consumer loans,9874.845,103455,54459,-220,XAP,6
2567926,186632,Consumer loans,8418.96,186880.5,186880.5,-517,XAP,24
1232481,292407,Consumer loans,10014.345,86989.5,91039.5,-269,XAP,10
1418540,303722,Cash loans,6311.25,67500,67500,-197,XAP,12
1494675,380561,Consumer loans,9095.31,56340,44959.5,-2152,XAP,6
2449093,311178,Cash loans,,0,0,-273,HC,
1343409,160671,Cash loans,,0,0,-345,XAP,
2559699,188312,Cash loans,8970.39,90000,95940,-191,XAP,12
1146680,293304,Cash loans,,0,0,-367,XAP,
2608217,268456,Cash loans,,0,0,-385,XAP,
2740457,367231,Cash loans,,0,0,-314,XAP,
2822378,276770,Consumer loans,1542.06,22815,20533.5,-2254,XAP,24
2833823,106086,Consumer loans,6232.725,58050,52245,-1555,XAP,10
2147401,202386,Cash loans,,0,0,-26,XAP,
2178955,269861,Consumer loans,6907.32,50661,57609,-1435,XAP,12
1845061,262439,Consumer loans,10971.135,119774.655,119772,-1384,XAP,12
1326748,436731,Consumer loans,3360.555,32985,29700,-778,XAP,12
2255346,135347,Consumer loans,12037.59,89100,97920,-1661,HC,12
1897668,205582,Revolving loans,2250,45000,45000,-234,XAP,0
2741832,346883,Consumer loans,5202.855,37305,32805,-2904,XAP,8
1103699,179380,Consumer loans,4565.025,32895,35608.5,-1182,XAP,10
1561600,406839,Cash loans,12085.965,94500,100737,-1013,XAP,12
1897671,216158,Consumer loans,8191.485,76275,101682,-554,XAP,18
1975174,276237,Revolving loans,22500,0,450000,-510,XAP,0
2438787,253721,Consumer loans,17278.605,107991,97191,-838,XAP,6
1375746,227908,Revolving loans,2250,0,45000,-672,HC,0
2241359,127285,Consumer loans,8586.18,48600,48600,-495,XAP,6
1003555,195690,Cash loans,24703.335,337500,422496,-850,XAP,24
2021594,131649,Cash loans,,0,0,-359,XAP,
2487787,419090,Consumer loans,7452.945,113733,113733,-819,XAP,18
1642964,248217,Consumer loans,18553.725,180000,194031,-16,XAP,12
2783413,269324,Consumer loans,5775.615,128205,128205,-991,XAP,24
1763186,393157,Consumer loans,,62860.5,62860.5,-518,CLIENT,
1892110,372945,Consumer loans,12607.695,75640.095,68076,-2654,SCO,6
1811616,227148,Consumer loans,4932.045,34676.595,37534.5,-2747,XAP,10
2354441,332724,Consumer loans,8712.99,80091,88546.5,-1185,XAP,12
2784652,123951,Consumer loans,2802.735,24327,24016.5,-2354,XAP,12
1521768,335217,Consumer loans,10216.8,49455,52542,-671,XAP,6
2285261,229210,Consumer loans,20050.11,97510.5,97510.5,-103,HC,6
1723023,337203,Revolving loans,2250,45000,45000,-160,XAP,0
2180632,217192,Consumer loans,8530.695,93150,93150,-772,XAP,12
1600240,342072,Consumer loans,5045.715,42255,41494.5,-1646,XAP,12
1330119,272520,Consumer loans,11493.99,51210,55264.5,-157,XAP,6
1979918,246553,Consumer loans,2430.99,20205,22783.5,-978,LIMIT,12
1816824,173254,Consumer loans,3166.74,30082.5,30082.5,-66,XAP,12
1515456,111817,Consumer loans,7646.04,67318.65,67318.65,-301,XAP,10
2723301,258384,Consumer loans,9147.105,51471,47376,-389,LIMIT,6
1665343,110713,Consumer loans,17769.735,143487,175549.5,-1092,XAP,12
1744003,351953,Consumer loans,23829.84,120577.5,126945,-634,XAP,6
1638914,262912,Consumer loans,9042.21,92601,81882,-507,XAP,12
1041414,107678,Consumer loans,,24480,24480,-1252,LIMIT,
2626990,275776,Consumer loans,17509.185,73872,65223,-1018,XAP,4
1382147,336630,Cash loans,10061.91,112500,127350,-631,XAP,24
2836013,347427,Consumer loans,13333.815,295650,295650,-1511,XAP,24
2542872,230939,Consumer loans,12792.465,61650,64701,-1628,XAP,6
1856964,148833,Consumer loans,3476.16,34200,31950,-2075,XAP,12
1701553,218487,Consumer loans,7300.755,29988,35509.5,-1240,XAP,6
1169188,418859,Consumer loans,3181.41,22405.5,24624,-1068,XAP,12
2345630,382118,Consumer loans,5469.3,60610.5,53307,-1312,XAP,12
1756835,405785,Consumer loans,6686.145,51700.5,50121,-2339,XAP,10
1630059,405785,Consumer loans,4550.535,28300.5,22617,-2042,XAP,6
1198506,207086,Consumer loans,5156.91,24475.5,22000.5,-2782,XAP,5
2284847,454600,Consumer loans,,27666,27666,-357,CLIENT,
2526335,240822,Consumer loans,6767.325,91755,33718.5,-2761,XAP,6
2180622,271919,Consumer loans,8533.53,71955,71172,-2184,XAP,12
2003921,370921,Consumer loans,8191.755,38434.5,30744,-1171,XAP,4
2356080,179766,Consumer loans,13201.245,196740,196740,-264,XAP,18
2356083,141771,Consumer loans,7781.985,71280,70425,-1330,XAP,12
1915792,403107,Consumer loans,2247.795,53959.5,48235.5,-2627,XAP,24
1231815,196567,Consumer loans,6369.255,69030,62127,-565,XAP,12
2635263,336697,Consumer loans,11198.25,81058.5,81058.5,-668,XAP,10
1917253,308686,Consumer loans,,44583.975,44583.975,-646,HC,
1676862,294352,Consumer loans,22173.795,129060,116154,-1728,XAP,6
1925028,203564,Revolving loans,,0,0,-36,HC,
1000588,168814,Cash loans,31396.5,450000,450000,-407,XAP,24
2440540,357994,Cash loans,10267.155,225000,269550,-228,HC,36
1722543,437604,Consumer loans,5947.425,59481,53532,-2806,SCO,10
1146853,333298,Consumer loans,4123.35,19782,18742.5,-1189,XAP,6
1855907,336955,Consumer loans,21023.055,73791.45,73791,-2719,XAP,4
1423542,295494,Consumer loans,3209.67,29655,28890,-2815,XAP,10
1566930,147254,Revolving loans,7875,157500,157500,-607,LIMIT,0
2395238,316116,Consumer loans,8279.685,71996.4,74524.5,-1274,XAP,10
2426645,170611,Consumer loans,4214.115,14791.5,14791.5,-2617,XAP,4
1984290,316076,Consumer loans,8661.645,80028,77962.5,-2526,XAP,10
1449731,169854,Consumer loans,15391.44,80460,84708,-826,XAP,6
2253483,186271,Consumer loans,24160.5,157500,157500,-1434,XAP,8
2431767,256460,Consumer loans,8621.46,103455,91039.5,-2500,LIMIT,12
1033218,191478,Consumer loans,7300.53,39465,35505,-723,XAP,6
1063365,138457,Consumer loans,,0,0,-398,XAP,
1897704,142422,Consumer loans,17578.62,104355,98878.5,-400,XAP,6
2670893,135263,Consumer loans,10945.755,56830.5,53671.5,-893,XAP,6
1702273,284827,Cash loans,,0,0,-169,XAP,
1166024,348381,Cash loans,,0,0,-489,XAP,
2751225,210824,Cash loans,11302.65,90000,102397.5,-558,SCO,12
2537421,123100,Consumer loans,3778.65,30271.59,33268.59,-252,XAP,10
1618991,434875,Consumer loans,10027.125,89991,99495,-464,XAP,12
1902173,203250,Cash loans,,0,0,-217,XAP,
1129372,203250,Cash loans,31952.205,495000,553806,-859,XAP,36
1470739,197469,Revolving loans,,0,0,-161,XAP,
1845535,343206,Cash loans,26230.005,225000,239850,-2183,XAP,12
1797707,244942,Cash loans,19151.46,225000,247275,-899,XAP,18
1340966,160643,Cash loans,,0,0,-319,XAP,
1876485,354388,Cash loans,40565.79,976500,1061572.5,-210,HC,36
2817906,312029,Cash loans,6535.8,45000,55075.5,-1115,XAP,12
2498236,403925,Cash loans,,0,0,-42,XAP,
1055492,159650,Revolving loans,9000,180000,180000,-717,XAP,0
1466735,292591,Cash loans,45269.19,724500,774229.5,-564,HC,24
1435016,430360,Cash loans,26472.24,225000,239850,-967,XAP,12
2334229,329949,Cash loans,14667.75,184500,184500,-2547,HC,18
1776835,449198,Cash loans,,0,0,-166,XAP,
1441456,386319,Cash loans,17886.645,270000,354753,-978,HC,30
1823611,127703,Revolving loans,11250,0,225000,-1235,HC,0
2663511,421088,Revolving loans,3150,0,45000,-1526,HC,0
1207628,187675,Cash loans,28604.565,472500,509922,-84,XAP,24
2413816,142645,Cash loans,77063.58,675000,698166,-664,XAP,12
1150154,121687,Consumer loans,3423.285,14989.5,17806.5,-482,XAP,6
1889646,265309,Consumer loans,7944.615,39060,41368.5,-463,XAP,6
2299244,432127,Consumer loans,3582.09,26275.5,29875.5,-1466,XAP,12
2697511,260154,Consumer loans,20453.715,311985,311985,-186,XAP,18
2220244,303472,Consumer loans,41383.71,234243,234243,-269,XAP,6
1532124,333237,Cash loans,26833.5,225000,225000,-1408,XAP,12
1840993,298055,Consumer loans,8314.695,61006.5,80712,-1465,XAP,16
1891645,396134,Revolving loans,2250,45000,45000,-277,XAP,0
1812433,248000,Consumer loans,11438.685,51844.5,42930,-714,XAP,4
2653610,113677,Consumer loans,8917.965,57105,48096,-515,XAP,6
1649135,334570,Consumer loans,5786.415,57870.9,52083,-2920,XAP,10
2715822,207619,Consumer loans,13504.185,261202.5,261202.5,-1149,XAP,24
2055255,427620,Cash loans,,0,0,-371,XAP,
2268930,192475,Cash loans,,0,0,-198,XAP,
1691921,349351,Revolving loans,15750,315000,315000,-215,XAP,0
2010349,180393,Revolving loans,,0,0,-308,XAP,
2606740,372255,Cash loans,34077.33,909000,1160973,-218,HC,60
2455914,348859,Cash loans,,0,0,-24,XAP,
1324205,265757,Cash loans,69127.38,1170000,1237954.5,-360,XAP,24
2812070,358702,Revolving loans,,0,0,-228,XAP,
2782972,392308,Revolving loans,,0,0,-258,XAP,
1105286,429332,Consumer loans,6262.155,37255.5,37701,-2037,XAP,8
2509325,259310,Consumer loans,13363.65,133650,120285,-1374,XAP,10
2668337,448680,Consumer loans,36817.47,601200,601200,-532,XAP,24
1862246,305608,Consumer loans,18108.18,93015,97924.5,-431,XAP,6
1321051,118877,Consumer loans,9957.555,95170.32,105214.5,-1180,XAP,12
2724439,163961,Cash loans,39369.6,360000,360000,-2337,LIMIT,12
2562544,163961,Cash loans,29527.2,270000,270000,-2337,XAP,12
1144853,397792,Consumer loans,6213.555,57150,63184.5,-252,HC,12
1949754,440976,Consumer loans,7445.205,73080,72283.5,-2050,XAP,12
2437564,208146,Consumer loans,3031.38,19845,21591,-728,XAP,10
2312862,330125,Cash loans,,225000,225000,-428,XNA,
1656819,324462,Consumer loans,,112711.095,112711.095,-1075,HC,
1741220,181080,Revolving loans,6750,135000,135000,-538,LIMIT,0
1061654,237960,Consumer loans,13764.555,125257.5,125257.5,-540,HC,10
2024662,424679,Consumer loans,3951.54,27580.5,32940,-1780,XAP,12
1891648,100373,Consumer loans,10872.99,115695,115119,-1053,XAP,12
1728692,316044,Consumer loans,8372.97,34281,40720.5,-449,XAP,6
1168330,133439,Cash loans,16099.065,180000,203760,-553,LIMIT,24
1769107,260342,Consumer loans,1097.64,9663.885,9663.885,-281,XAP,10
2155374,453205,Consumer loans,4045.095,40455,36409.5,-2603,XAP,10
2036614,453205,Consumer loans,1685.34,40455,36166.5,-2603,SCO,24
2770539,185661,Revolving loans,6750,0,180000,-2621,XNA,0
1107554,298900,Consumer loans,7948.215,73926,73120.5,-2709,XAP,12
2157182,152657,Cash loans,,0,0,-242,XAP,
1287036,272472,Consumer loans,8026.695,92610,74088,-680,XAP,12
1287039,139148,Consumer loans,22298.04,127264.5,120582,-645,XAP,6
1540496,168941,Consumer loans,9580.455,41296.5,46593,-633,XAP,6
2287554,149507,Consumer loans,20713.635,220518,220518,-736,XAP,12
1645166,227459,Consumer loans,4624.47,25380,22680,-1780,XAP,6
1857686,184577,Cash loans,,0,0,-280,XAP,
1776061,455912,Cash loans,20317.59,270000,291919.5,-725,XAP,18
2146436,140927,Cash loans,,0,0,-85,XAP,
2648616,323134,Cash loans,,0,0,-50,XAP,
1210829,239856,Cash loans,42306.795,675000,721332,-910,XAP,24
1096988,317524,Cash loans,,0,0,-301,XAP,
2143974,159232,Cash loans,,0,0,-57,XAP,
1733121,244071,Consumer loans,4860.72,64485,67230,-688,HC,18
1773062,440690,Consumer loans,18397.665,170500.5,164421,-1078,XAP,10
1364216,423361,Consumer loans,13553.37,166468.5,169695,-1456,XAP,18
2161897,246218,Consumer loans,7605,69205.5,69205.5,-552,XAP,10
2769470,269464,Consumer loans,6873.39,61866,69214.5,-220,XAP,12
2161906,211051,Consumer loans,3131.01,26460,26113.5,-2111,XAP,12
2326884,381906,Cash loans,9203.4,157500,240660,-187,HC,48
2454716,280088,Consumer loans,28473.885,741375,628875,-164,HC,30
1581859,105915,Revolving loans,2250,45000,45000,-308,LIMIT,0
2478623,313561,Consumer loans,16855.65,81810,86130,-1029,XAP,6
2091687,352408,Cash loans,26774.1,495000,553806,-32,HC,36
2524156,443195,Cash loans,7606.125,112500,112500,-2388,XAP,24
2368405,155370,Consumer loans,5007.285,39042,42907.5,-2307,XAP,12
2120312,323416,Consumer loans,6632.37,63621,61015.5,-2580,XAP,12
2371781,137051,Consumer loans,13519.89,112459.14,109561.5,-2313,XAP,10
1834875,395307,Revolving loans,,0,0,-213,XAP,
1275784,343957,Cash loans,,0,0,-532,XAP,
1027195,286895,Consumer loans,11051.28,117000,117000,-889,XAP,12
2605376,411276,Cash loans,5674.5,45000,54103.5,-711,XAP,12
1527905,268880,Cash loans,,0,0,-445,XAP,
2793811,139978,Cash loans,11330.28,229500,302206.5,-33,SCOFR,36
2036767,159610,Cash loans,14585.895,135000,182956.5,-492,LIMIT,24
1182518,433233,Consumer loans,5226.57,125505.9,112158,-2698,XAP,24
1053449,454548,Consumer loans,13069.215,44406,45873,-2496,XAP,4
1028290,230321,Consumer loans,3209.4,32971.5,30550.5,-330,XAP,12
1078540,279029,Consumer loans,4545.72,48802.5,43920,-2021,XAP,12
1373426,349464,Consumer loans,5736.96,69436.71,55548,-164,HC,12
1976364,413934,Consumer loans,8297.505,199687.5,179716.5,-406,XAP,36
2040274,197626,Consumer loans,9373.185,67126.5,48564,-35,XAP,6
1095412,206765,Cash loans,13095.45,229500,309073.5,-194,SCO,36
1991401,308325,Consumer loans,9189.09,120600,82251,-462,XAP,10
1912691,365415,Cash loans,5693.085,45000,47970,-529,XAP,12
2373885,358186,Cash loans,17818.02,310500,344110.5,-460,XAP,24
2543602,381168,Consumer loans,,34035.75,34035.75,-777,CLIENT,
1112796,163998,Consumer loans,18903.915,118341,132399,-298,XAP,8
1610828,322360,Cash loans,20983.995,180000,191880,-2338,XAP,12
2778584,273378,Consumer loans,40072.59,364230,364230,-704,XAP,10
2252136,223993,Consumer loans,,34011.675,34011.675,-1048,HC,
1598252,336199,Consumer loans,4203.945,52065,41652,-388,XAP,12
1035336,449061,Consumer loans,2937.87,18954,18180,-1524,XAP,8
1724113,133066,Consumer loans,10925.505,51259.5,41004,-785,XAP,4
2286500,300401,Consumer loans,14160.375,116460,116460,-276,XAP,12
2218168,336216,Consumer loans,4853.88,47034,52002,-799,XAP,12
2277581,134010,Consumer loans,3562.83,18540,17473.5,-1832,XAP,6
1255904,320242,Cash loans,32908.995,693000,912541.5,-119,XAP,48
1765146,261733,Cash loans,21670.92,328500,389205,-365,XAP,48
2627285,219469,Cash loans,23567.85,229500,241920,-920,XAP,12
2203301,377067,Cash loans,39324.645,1053000,1344892.5,-43,XAP,60
2825666,135075,Cash loans,,0,0,-60,XAP,
1625938,310539,Revolving loans,,0,0,-269,XAP,
2442834,155635,Cash loans,,0,0,-79,XAP,
2152923,168628,Cash loans,74038.23,855000,892242,-584,XAP,18
1808641,154529,Revolving loans,,0,0,-251,XAP,
1072778,153188,Cash loans,,0,0,-266,XAP,
2033482,350842,Cash loans,28907.415,270000,296730,-310,XAP,12
1048630,223184,Cash loans,,0,0,-352,XAP,
1541874,157041,Consumer loans,,51246,51246,-288,CLIENT,
2028925,372533,Consumer loans,7296.255,63445.5,63445.5,-410,XAP,10
1191855,425963,Consumer loans,10925.505,51259.5,41004,-1205,XAP,4
1360678,293334,Consumer loans,6378.75,112500,112500,-789,XAP,24
1486399,416260,Consumer loans,5845.905,51469.65,51469.65,-89,XAP,10
2829509,130429,Consumer loans,8558.595,65376,61029,-1408,XAP,10
2029849,380539,Cash loans,18982.935,90000,92970,-611,XAP,6
1766797,144040,Consumer loans,11381.13,53394.75,42714,-952,XAP,4
1490462,449030,Revolving loans,9000,0,180000,-691,XAP,0
2366052,121849,Consumer loans,7813.485,58468.5,64255.5,-1813,XAP,12
2134880,402346,Consumer loans,2155.275,21555,19399.5,-2511,XAP,10
2011047,155779,Consumer loans,7032.6,65565,64638,-1449,XAP,12
1487194,423908,Consumer loans,8965.395,110007,129370.5,-27,XAP,20
2240087,434717,Consumer loans,4252.23,26811,26811,-2385,XAP,8
2146151,161415,Consumer loans,8044.11,48464.55,48460.5,-2287,HC,8
1894885,287361,Cash loans,31573.8,540000,540000,-567,XAP,24
1166363,143116,Consumer loans,2882.52,39820.5,49284,-87,HC,24
2240107,323651,Revolving loans,13500,0,270000,-650,XAP,0
2139354,388401,Revolving loans,29250,0,585000,-608,HC,0
1418240,407209,Consumer loans,11453.31,91539,99594,-1080,XAP,10
1214322,328754,Consumer loans,18015.39,178335,178335,-917,XAP,12
2088404,141914,Consumer loans,9767.79,86287.5,95400,-870,XAP,12
1462526,239145,Consumer loans,10585.935,97803,95283,-1885,XAP,10
1846858,196754,Consumer loans,17686.26,163525.5,158017.5,-1475,XAP,10
2760911,217003,Consumer loans,14102.235,125955,124578,-2031,XAP,12
1330540,190634,Consumer loans,9020.655,65205,74146.5,-1878,XAP,12
1684165,394962,Consumer loans,22073.22,193455,193455,-2524,XAP,12
2717566,372277,Cash loans,13472.73,67500,69727.5,-2267,XAP,6
1445481,389236,Cash loans,16591.5,135000,135000,-2794,XAP,10
1680090,144062,Consumer loans,11372.67,100300.5,85252.5,-2868,SCO,10
1956180,169385,Consumer loans,12564.9,110626.02,110626.02,-559,XAP,10
2405261,215837,Revolving loans,2250,45000,45000,-424,XAP,0
1636555,253690,Consumer loans,5666.805,47115,46602,-1814,XAP,12
2283315,102649,Consumer loans,12540.6,60423.255,63414,-1452,XAP,6
1354762,214927,Consumer loans,10687.725,88785.9,88474.5,-2659,XAP,12
1024290,303067,Consumer loans,2690.235,24480,24214.5,-1706,XAP,12
2357836,342771,Consumer loans,3836.97,25272,27774,-111,XAP,10
1482288,407050,Consumer loans,9513.675,101925,101925,-876,XAP,12
2179257,332382,Consumer loans,5350.815,47110.5,47110.5,-342,XAP,10
1360197,321342,Consumer loans,7757.415,58392,65331,-14,XAP,12
2602998,204082,Cash loans,,450000,450000,-368,HC,
1896264,258070,Consumer loans,5781.915,57825,52042.5,-2830,XAP,10
1183636,395562,Consumer loans,71390.295,268659,274567.5,-519,XAP,4
1846315,231007,Consumer loans,3879.9,35955,32359.5,-1380,XAP,12
2799266,252905,Consumer loans,6693.3,65205,71662.5,-1459,LIMIT,12
2155032,286412,Consumer loans,18372.195,142632,155182.5,-244,XAP,10
1715858,354389,Consumer loans,4103.1,37341,36931.5,-2244,XAP,12
2123041,418997,Consumer loans,15395.625,103286.565,94284,-525,XAP,8
2454123,200956,Consumer loans,5372.595,43767,39388.5,-1633,XAP,10
2188215,403328,Revolving loans,2250,45000,45000,-306,SCOFR,0
2668727,414481,Cash loans,22301.19,112500,116212.5,-1131,XAP,6
2447477,274840,Revolving loans,9000,180000,180000,-223,HC,0
1951441,335598,Cash loans,35149.5,904500,1119411,-421,HC,48
1530063,377616,Cash loans,,0,0,-130,XAP,
2352627,266560,Revolving loans,,0,0,-323,XAP,
1348316,104826,Revolving loans,22500,450000,450000,-183,HC,0
1472909,452034,Consumer loans,,30145.5,30145.5,-96,CLIENT,
1120844,263982,Revolving loans,6750,135000,135000,-283,HC,0
2333416,206862,Consumer loans,1773.135,15611.22,15611.22,-149,XAP,10
2831977,248474,Consumer loans,13103.145,119119.5,119119.5,-235,XAP,10
2308215,102092,Consumer loans,6000.21,58824,58527,-487,XAP,12
1124109,284499,Revolving loans,13500,270000,270000,-198,HC,0
2424678,442914,Cash loans,17870.445,450000,553950,-862,XAP,60
1210834,231279,Cash loans,25965,450000,450000,-272,XAP,24
1909868,177638,Revolving loans,6750,135000,135000,-522,HC,0
1610260,195654,Consumer loans,,52465.5,52465.5,-884,CLIENT,
